source	target
PXN	PDPK1
PXN	MAPK3
PXN	CRK
PXN	TLN1
PXN	FYN
PXN	PKD1
PXN	EGFR
PXN	VCL
PXN	TRIP6
PXN	ABL1
PXN	ILK
PXN	FN1
PXN	SRC
PXN	SDC4
PXN	GRB2
EWSR1	FASN
EWSR1	PHB2
EWSR1	ARHGDIA
EWSR1	ATN1
EWSR1	PRKAB1
EWSR1	MYO1F
EWSR1	ILK
EWSR1	MAP1LC3B
EWSR1	EIF1B
EWSR1	ELF3
EWSR1	TLN1
EWSR1	SF3B4
EWSR1	CREBBP
EWSR1	CALM1
EWSR1	CALM2
EWSR1	CALM3
EWSR1	MYL6
EWSR1	SMAD1
EWSR1	PXN
RELA	IRF9
RELA	NFKBIA
RELA	ATF3
RELA	ATF4
RELA	TERT
RELA	JUN
RELA	KEAP1
RELA	IRF1
RELA	FOS
RELA	CCL5
CDK9	RELA
EEF1G	LRP1
EEF1G	QARS
EEF1G	MAP1LC3B
EEF1G	PDIA3
EEF1G	GRB2
EEF1G	ACTG1
EEF1G	PTPRF
EEF1G	EGFR
EEF1G	ISG15
EGFR	JUP
EGFR	CBR1
EGFR	HBEGF
EGFR	ELF3
EGFR	EEF1G
CD9	HBEGF
TAP1	PSMB9
TAP1	B2M
TAP1	CALR
CREB3	CEBPG
CREB3	NFIL3
CREB3	APH1A
CREB3	TSPAN4
CREB3	HMOX1
CREB3	JUN
CREB3	BCL2L1
CREB3	CLCN7
CREB3	MALL
CREB3	AQP1
CREB3	RHEB
CREB3	RRAS2
CREB3	RABAC1
CREB3	TAP1
FYN	PLAUR
FYN	JUP
FYN	HRAS
FYN	RRAS
RPL10	SRC
RPL10	HCK
RPL10	GRB2
RPL10	FYN
SRC	LRP1
SRC	SHC1
SRC	PDPK1
SRC	CCND1
SRC	RRAS
SRC	ACTB
SRC	ADRB2
SRC	NFKBIA
SRC	HLA-A
SRC	HLA-B
SRC	JUP
SRC	CREBBP
SRC	STUB1
SRC	TERT
SRC	HCK
SRC	FYN
SRC	HRAS
SF1	NCOR2
SF1	DDX17
SF1	SRC
YY1	CREBBP
YY1	BCL6
YY1	JUND
YY1	JUNB
ACTB	CCT8
ACTB	RPS13
ACTB	SRC
ACTB	RAC1
ACTB	RAB4A
ACTB	LMNA
ACTB	CDKN1A
ACTB	AKT1
ACTB	PRKCD
ACTB	CSNK2B
ACTB	GNB2L1
ACTB	TAF11
ACTB	VIM
ACTB	EZR
ACTB	RPL18
ACTB	HCK
ACTB	MCL1
ACTB	TPM2
ACTB	PHB
ACTB	MX1
ACTB	GNAI2
ACTB	RPA2
ACTB	MAP1LC3B
ACTB	KAT5
ACTB	SMARCA4
ACTB	ERBB2
ACTB	POLR2A
ACTB	CD4
ACTB	SMARCC2
ACTB	TGM2
ACTB	BBS1
ACTB	BCL2L1
ACTB	ACTG1
ACTB	YY1
STUB1	VCP
STUB1	EGFR
STUB1	BAG1
STUB1	EPAS1
STUB1	ERBB2
STUB1	SMAD1
STUB1	UBE2E3
STUB1	PSMD4
STUB1	HSPA1A
STUB1	HSPA1B
STUB1	PRKCZ
STUB1	AKT1
STUB1	UBE2D2
STUB1	CD4
STUB1	ABL1
STUB1	SRC
STUB1	IRF1
STUB1	HSF1
AIMP2	QARS
AIMP2	CHD3
AIMP2	ACTB
AIMP2	KDR
AIMP2	MCF2L
AIMP2	PSME1
AIMP2	LMNA
AIMP2	EIF1B
AIMP2	STUB1
NEDD9	FYN
TRIP6	VCL
TRIP6	SRC
TRIP6	CCL5
TRIP6	P4HB
TRIP6	RPS14
TRIP6	PXN
TRIP6	SMAD1
TRIP6	ATN1
TRIP6	NEDD9
DDA1	LAP3
LTA4H	DDA1
EDNRB	EDN1
GNA11	ADRB2
GNA11	EDNRA
GNA11	EDNRB
RPS13	RELA
RPS8	GRB2
RPS8	CALM3
RPS8	CALM2
RPS8	CALM1
RPS8	MAP1LC3B
RPS8	RPS13
